ano,mes,dia,hora,convidado,onde,
2016,6,10,12:30,Encontro com Centrais Sindicais,Palácio do Jaburu,
2016,6,13,15:00,"Roberto Azevêdo, Diretor-Geral da OMC","Palácio do Planalto, 3º andar - Gabinete",
2016,6,13,16:00,"Bruno Araújo, ministro de Estado das Cidades","Palácio do Planalto, 3º andar - Gabinete",
2016,6,14,08:00,Decolagem para o Rio de Janeiro / RJ,,
2016,6,14,09:30,Chegada ao Rio de Janeiro.,,
2016,6,14,10:00,"Thomas Bach, presidente do Comitê Olímpico Internacional - COI",Parque Olímpico - Rio de Janeiro / RJ,RJ
2016,6,14,10:30,"Carlos Arthur Nuzman, presidente do Comitê Olímpico Brasíleiro",Parque Olímpico - Rio de Janeiro / RJ,RJ
2016,6,14,11:00,Visita ao Parque Olímpico,Rio de Janeiro / RJ,RJ
2016,6,14,11:30,Reunião de trabalho,Parque Olímpico - Rio de Janeiro / RJ,RJ
2016,6,15,10:00,Reunião de Líderes da Câmara e do Senado,Palácio do Planalto,
2016,6,15,12:00,Eduardo Pinho Moreira,,
2016,6,15,15:00,Robinson Mesquita de Faria,,
2016,6,15,15:30,Eduardo Alves do Amorim,,
2016,6,15,16:30,Beto Richa,,
2016,6,16,16:00,"Ato de assinatura do edital do fundo de Financiamento Estudantil - FIES 2016, 2º semestre, para abertura de 70 mil vagas.","Palácio do Planalto, Salão Leste, 2º andar -",
2016,6,16,17:00,"Deputado Federal Leonardo Quintão, PMDB MG e membros da ANAJURE.","Palácio do Planalto, Salão Leste, 2º andar -",
2016,6,16,17:30,"Rodrigo Rollemberg, governador do Distrito Federal.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,20,15:00,Governadores das unidades federativas do Brasil,,
2016,6,21,15:30,"Deputado Federal Baleia Rossi, PMDB SP .","Palácio do Planalto, 3º andar - Gabinete",
2016,6,21,16:00,Helder Barbalho,,
2016,6,21,16:30,"Henrique Meirelles, ministro da Fazenda.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,21,17:30,"André Puccinelli, ex-governador do Mato Grosso do Sul.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,21,17:45,"Deputado Federal Mauro Lopes, PMDB MG / Deputado Carlos Marun, PMDB MS.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,21,18:00,"Geddel Vieira Lima, Secretário de Governo.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,21,19:00,"José Serra, Ministro das Relações Exteriores e general Sérgio Etchegoyen.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,21,19:20,"Moreira Franco, secretário-executivo do Programa de Parcerias de Investimento.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,21,19:30,"Mendonça Filho, ministro da Educação.","Palácio do Planalto, 3º andar - Gabinete",
2016,6,22,10:30,Reunião com ministros do Núcleo Econômico.,Palácio do Planalto,
2016,6,22,15:00,"Cerimônia de posse do novo presidente do Instituto Brasileiro de Geografia e Estatística-IBGE, senhor Paulo Rabello de Castro",Palácio do Planalto,
2016,6,23,09:00,Reunião com Núcleo Institucional,Palácio do Planalto,
2016,6,23,12:00,Cerimônia de sanção da Lei que disciplina o processo e julgamento do mandado de injunção individual e coletivo,Palácio do Planalto,
2016,6,23,15:00,Cerimônia de entrega de credenciais de embaixadores estrangeiros residentes em Brasília,Palácio do Planalto,
2016,6,27,10:00,Reunião com ministros do Núcleo de Infraestrutura e Líderes do governo.,"palácio do Planalto, 3ª andar",
2016,6,28,10:00,Embarque para Telêmaco Borba/PR,Base Aérea de Brasília,PR
2016,6,28,11:55,Chegada a Telêmaco Borba,Aeroporto Monte Alegre,PR
2016,6,28,12:00,Inauguração da nova fábrica de celulose da Klabin,Ortigueira/PR,PR
2016,6,28,13:45,Embarque para Brasília,Aeroporto Monte Alegre - Telêmaco Borba/PR,PR
2016,6,28,15:20,Chegada a Brasília/DF,Base Aérea de Brasília,
2016,6,29,10:30,Leonardo Picciani,,
2016,6,29,11:30,Cerimônia de anúncio de aumento do Bolsa Família e liberação de recursos para a Educação,Palácio do Planalto,
2016,6,29,15:00,"Líder Baleia Rossi (PMDB/SP) e Henrique Prata, diretor do Hospital do Câncer de Barretos/SP",Palácio do Planalto,
2016,6,29,15:30,Deputado Jerônimo Goergen (PP/RS),Palácio do Planalto,
2016,6,30,11:00,Encontro com representantes da Confederação das Associações Comerciais e Empresariais do Brasil - CACB,Palácio do Planalto,
2016,6,30,18:00,Recepção na Embaixada da Santa Sé em homenagem ao Papa Francisco,"Sede da Nunciatura Apostólica, Embaixada da Santa Sé, Setor de Embaixadas Sul, Av",
2016,7,1,10:00,"Cerimônia de restituição de competência aos Comandantes da Marinha, Exército e Aeronáutica",Palácio do Planalto,
2016,7,4,09:00,Abertura Oficial do Global Agribusiness Forum 2016,Morumbi - São Paulo/SP,SP
2016,7,4,15:00,Camilo Santana,,
2016,7,4,18:00,Henrique Meirelles,,
2016,7,5,10:00,Senador Ricardo Ferraço (PSDB/ES) e Senador Magno Malta (PR/ES),Palácio do Planalto,
2016,7,5,10:30,Senador Ciro Nogueira (PP/PI),Palácio do Planalto,
2016,7,5,11:00,Bancada Federal do Partido Popular Socialista – PPS,Palácio do Planalto,
2016,7,5,15:00,"Renan Calheiros, Presidente do Senado Federal, Senador Otto Alencar (PSD/BA), Senador Ataídes Oliveira (PSDB/TO)",Palácio do Planalto,
2016,7,5,16:00,Deputado Mauro Mariani (PMDB/SC),Palácio do Planalto,
2016,7,5,17:00,"Renata Bueno, deputada do Parlamento italiano e delegação italiana",Palácio do Planalto,
2016,7,6,15:00,Senador Valdir Raupp (PMDB/RO) e bancadas federais dos estados de Rondônia e Acre,Palácio do Planalto,
2016,7,6,16:00,"Senador Eduardo Lopes, líder do PRB no Senado e membros da Associação Brasileira de Mídias Evangélicas - ABME",Palácio do Planalto,
2016,7,6,17:30,Bernardo Pinto Paiva - presidente da Ambev,Palácio do Planalto,
2016,7,6,19:30,"Senadora Rose de Freitas, líder do governo no Congresso, Senador Romero Jucá (PMDB/RR), Senador Wellington Fagundes (PR/MT), Deputado Arthur de Lira (PP/AL)",Palácio do Planalto,
