ano,mes,dia,hora,quem,,onde,
2018,1,12,18:30,"Deputado Darcísio Perondi (PMDB/RS) e Murillo de Aragão, cientista político",,"
Palácio do Planalto",
2018,1,12,19:00,"Torquato Jardim, ministro de Estado da Justiça e Segurança Pública",,"
Palácio do Planalto",
2018,1,14,11:30,"Gustavo Rocha, substituto eventual do ministro-chefe da Casa Civil da Presidência da República; Torquato Jardim, ministro de Estado da Justiça; Henrique Meirelles, ministro de Estado da Fazenda; e Wellington Moreira Franco, ministro-chefe da Secretaria Geral da Presidência da República",,"
Palácio da Alvorada",
2018,1,15,08:50,"Sergio Etchegoyen, ministro de Estado chefe do Gabinete de Segurança Institucional da Presidência da República",,"
Palácio do Planalto",
2018,1,15,09:10,"Gustavo Rocha, substituto eventual do ministro-chefe da Casa Civil da Presidência da República e Fernando Segóvia, Diretor-geral da Polícia Federal",,"
Palácio do Planalto",
2018,1,15,10:00,"Apóstolo Valdemiro Santiago, fundador da Igreja Mundial do Poder de Deus",,"
Palácio do Planalto",
2018,1,15,11:00,"Gustavo Rocha, substituto eventual do ministro-chefe da Casa Civil da Presidência da República; Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República, Carlos Marun, ministro-chefe da Secretaria de Governo da Presidência da República e Sergio Etchegoyen, ministro de Estado chefe do Gabinete de Segurança Institucional da Presidência da República",,"
Palácio do Planalto",
2018,1,15,16:00,"Raul Jungmann, ministro de Estado da Defesa",,"
Palácio do Planalto",
2018,1,16,11:00,Despachos internos,,"
Palácio do Planalto",
2018,1,16,12:00,"Henrique Meirelles, ministro de Estado da Fazenda",,"
Palácio do Planalto",
2018,1,16,16:20,Deputado Rogério Rosso (PSD/DF),,"
Palácio do Planalto",
2018,1,16,17:30,"Gilberto Kassab, ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações; Deputado Paulo Freire (PR/SP); Deputado Ronaldo Fonseca (PROS/DF); Fátima Pelaes, Secretária Nacional de Política para as Mulheres, e Pastor José Wellington, presidente da Igreja Evangélica Assembleia de Deus em São Paulo",,"
Palácio do Planalto",
2018,1,16,18:15,"Henrique Meirelles, ministro de Estado da Fazenda; Dyogo Oliveira, ministro de Estado do Planejamento, Desenvolvimento e Gestão; Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República; Robinson Faria, governador do Rio Grande do Norte; Senador Garibaldi Alves Filho (MDB/RN); Senador José Agripino (DEM/RN); Deputado Fábio Faria (PSD/RN); Deputado Rafael Mota (PSB/RN); Deputado Rogério Marinho (PSDB/RN); e Deputado Walter Alves (MDB/RN) ",,"
Palácio do Planalto",
2018,1,16,19:00,Deputado Takayama (PSC/PR),,"
Palácio do Planalto",
2018,1,16,19:15,"Raul Jungmann, ministro de Estado da Defesa; Sergio Etchegoyen, ministro-chefe do Gabinete de Segurança Institucional da Presidência da República; Gilson Libório, secretário-executivo do Ministério da Justiça; General de Divisão Santos Cruz, secretário nacional de Segurança Pública do Ministério da Justiça; e Frank Márcio de Oliveira, diretor-adjunto da ABIN",,"
Palácio do Planalto",
2018,1,17,11:00,Cerimônia de Liberação de Recursos para o Ensino Médio de Tempo Integral ,,"
Palácio do Planalto",
2018,1,17,12:00,Deputado Ronaldo Fonseca (PROS/DF),,"
Palácio do Planalto",
2018,1,17,12:30,"Maurício Quintella, ministro de Estado dos Transportes, Portos e Aviação Civil; Alexandre Baldy, ministro de Estado das Cidades e Edinho Araújo, prefeito de São José do Rio Preto/SP",,"
Palácio do Planalto",
2018,1,17,15:30,Senadora Rose de Freitas (MDB/ES),,"
Palácio do Planalto",
2018,1,17,16:00,"José Sarney Filho, ministro de Estado do Meio Ambiente",,"
Palácio do Planalto",
2018,1,17,17:30,"Helder Barbalho, ministro de Estado da Integração Nacional",,"
Palácio do Planalto",
2018,1,17,18:00,"Foto com Deputado Fábio Ramalho (PMDB/MG); Deputado Caio Narcio (PSDB/MG); Deputado Estadual Raimundo Nonato (Nozinho) (PDT/MG); Alessandro Ferraz, vereador do município de Governador Valadares/MG; Jamir Ribeiro, secretário municipal da Fazenda de Governador Valadares/MG; Carlos Teixeira, secretário municipal do Desenvolvimento de Governador Valadares/MG; Jackson Lemos, presidente da Associação Comercial e Empresarial de Governador Valadares/MG; Iarlei Quintão Fraga, gerente-executivo da Associação Comercial e Industrial de João Monlevade (ACIMON); Luis Antônio da Silva, diretor presidente da Associação Comercial e Industrial de Santa Bárbara (ACISB); Eugênio Müller, presidente da Associação Comercial, Industrial, de Serviços e Agropecuária de Itabira (ACITA); Uilton Pantuza, presidente da Associação Comercial, Industrial, Agropecuária e de Prestação de Serviços de São Domingo do Prata (ACIAP); Fernando Henrique, gerente executivo da Associação Comercial, Industrial, Agropecuária e de Prestação de Serviços de São Domingo do Prata (ACIAP); e Gustavo Barroso",,"
Palácio do Planalto",
2018,1,17,18:20,Deputado Beto Mansur (PRB/SP),,"
Palácio do Planalto",
2018,1,17,19:10,"Carlos Marun, ministro-chefe da Secretaria de Governo da Presidência da República",,"
Palácio do Planalto",
2018,1,17,20:20,"Tião Viana, governador do estado do Acre",,"
Palácio do Planalto",
2018,1,19,10:00,"Henrique Meirelles, ministro de Estado da Fazenda",,"
Palácio do Jaburu",
2018,1,19,11:00,"Fernando Coelho Filho, ministro de Estado de Minas e Energia",,"
Palácio do Jaburu",
2018,1,19,14:30,"José Carlos Martins, presidente da Câmara Brasileira da         Indústria da Construção – CBIC",,"
Palácio do Planalto",
2018,1,19,16:20,"Ministra Grace Maria Mendonça, Advogada-Geral da União",,"
Palácio do Planalto",
2018,1,20,11:30,"Torquato Jardim, Ministro da Justiça e Segurança Pública, Grace Maria Mendonça, Ministra da Advocacia Geral da União e Gustavo Rocha, Subchefe de Assuntos Jurídicos da Casa Civil da Presidência da República",,"
Palácio da Alvorada",
2018,1,20,13:45,"Aguinaldo Ribeiro, deputado (PP/PB) líder do Governo na Câmara dos Deputados",,"
Palácio da Alvorada",
2018,1,22,10:20,Anúncio de recursos para expansão e modernização do Metrô do DF ,,"
Palácio do Planalto",
2018,1,22,10:35,"Eliseu Padilha, ministro-chefe da Casa Civil da Presidência da República; Torquato Jardim, ministro de Estado da Justiça e Segurança Pública; Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República, e Carlos Marun, ministro-chefe da Secretaria de Governo da Presidência da República",,"
Palácio do Planalto",
2018,1,22,11:10,"Ministra Grace Maria Mendonça, Advogada-Geral da União",,"
Palácio do Planalto",
2018,1,22,12:00,Deputado Izalci Lucas (PSDB/DF),,"
Palácio do Planalto",
2018,1,22,12:15,Deputado Mauro Pereira (MDB/RS),,"
Palácio do Planalto",
2018,1,22,15:00,Deputado Pauderney Avelino (DEM/AM),,"
Palácio do Planalto",
2018,1,22,16:00,"Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República, e Carlos Marun, ministro-chefe da Secretaria de Governo da Presidência da República",,"
Palácio do Planalto",
2018,1,22,17:00,"Eliseu Padilha, ministro-chefe da Casa Civil da Presidência da República",,"
Palácio do Planalto",
2018,1,22,22:00,Partida para Zurique/Suíça,,"
Base Aérea de Brasília",SCH
2018,1,23,13:50,Chegada a Zurique/Suíça,,"
Aeroporto de Zurique",SCH
2018,1,24,10:25,Discurso na Sessão Plenária do Fórum Econômico Mundial 2018,,"
Davos/Suíça",SCH
2018,1,24,11:30,"Senhor Ángel Gurria, Secretário-Geral da OCDE",,"
Davos/Suiça",SCH
2018,1,24,11:50,"Senhor Francesco Starace, CEO do Grupo Enel",,"
Davos/Suiça",SCH
2018,1,24,12:10,"Senhor João Lourenço, Presidente da Angola",,"
Davos/Suiça",SCH
2018,1,24,12:30,"Senhor Dave MacLennan, CEO da Cargill",,"
Davos/Suiça",SCH
2018,1,24,14:15,"Senhor Ben Van Beurden, CEO da Shell Global",,"
Davos/Suiça",SCH
2018,1,24,14:30,"Senhor José Manuel Durão Barroso, Chairman do Goldman-Sachs",,"
Davos/Suiça",SCH
2018,1,24,15:25,"Senhor Saad Hariri, Primeiro-Ministro do Líbano",,"
Davos/Suiça",SCH
2018,1,24,15:45,"Senhor Lakshmi Mittal, CEO da ArcelorMittal",,"
Davos/Suiça",SCH
2018,1,24,16:15,"Senhor Carlos Brito, Presidente Global da Ambev",,"
Davos/Suiça",SCH
2018,1,24,16:40,"Stephen Fidler, editor Wall Street Journal",,"
Davos/Suíça",SCH
2018,1,24,17:00,"Arthur Gregg Sulzberger, Publisher/Editor New York Times",,"
Davos/Suiça",SCH
2018,1,24,17:20,"Isabelle Kumar, apresentadora Euronews",,"
Davos/Suíça",SCH
2018,1,24,17:45,"Senhor Andrew Liveris, CEO da Sow Chemical",,"
Davos/Suiça",SCH
2018,1,24,18:00,"Senhor James Quincey, CEO da Coca-Cola",,"
Davos/Suiça",SCH
2018,1,24,20:00,“Brazil the Road Ahead”: jantar oferecido pelo Fórum Econômico Mundial ao Senhor Presidente da República,,"
Davos/Suíça",SCH
2018,1,25,09:30,Partida de Zurique com destino a Brasília,,"
Aeroporto de Zurique",SCH
2018,1,25,19:50,Chegada a Brasília/DF ,,"
Base Aérea de Brasília",
2018,1,26,11:00,"General de Divisão Marco Antônio Freire Gomes, Ministro-Interino do Gabinete de Segurança Institucional da Presidência da República, e General de Exército Eduardo Dias da Costa Villas Bôas, Comandante do Exército",,"
Palácio do Planalto",
2018,1,26,13:30,"Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República",,"
Palácio do Planalto",
2018,1,26,16:00,"Senador Romero Jucá (MDB/RR), líder do Governo no Senado",,"
Palácio do Planalto",
2018,1,26,17:50,"Luislinda Valois, ministra de Estado dos Direitos Humanos",,"
Palácio do Planalto",
2018,1,29,08:30,Entrevista ao Programa Jornal Gente da Rádio Bandeirantes ,,"
São Paulo/SP",
2018,1,29,14:50,"Eliseu Padilha, ministro-chefe da Casa Civil da Presidência da República, e Wellington Moreira Franco, ministro-chefe da Secretaria-Geral da Presidência da República",,"
Palácio do Planalto",
2018,1,29,15:50,Senador Ataídes Oliveira (PSDB/TO),,"
Palácio do Planalto",
2018,1,29,16:30,"Fernando Segóvia, Diretor-geral da Polícia Federal",,"
Palácio do Planalto",
2018,1,29,17:00,"Deputado Baleia Rossi (MDB/SP), líder do MDB na Câmara dos Deputados",,"
Palácio do Planalto",
2018,1,29,18:00,Deputado Pauderney Avelino (DEM/AM),,"
Palácio do Planalto",
2018,1,29,18:15,Senador Aécio Neves (PSDB/MG),,"
Palácio do Planalto",
2018,1,29,18:40,"Torquato Jardim, ministro de Estado da Justiça e Segurança Pública",,"
Palácio do Planalto",
2018,1,30,08:45,Partida de Brasília para Rio Verde/GO ,,"
Base Aérea de Brasília",
2018,1,30,10:00,Cerimônia de Anúncio do Custeio Antecipado da Safra 2018/2019,,"
Rio Verde/GO",GO
2018,1,30,12:00,Partida de Rio Verde para Brasília,,"
Aeroporto Gen. Leite de Castro",GO
2018,1,30,12:45,Chegada a Brasília,,"
Base Aérea de Brasília",
2018,1,30,14:40,Deputado Antonio Imbassahy (PSDB/BA),,"
Palácio do Planalto",
2018,1,30,15:00,"José Sarney Filho, ministro de Estado do Meio Ambiente",,"
Palácio do Planalto",
2018,1,30,16:00,"Eliseu Padilha, ministro de Estado chefe da Casa Civil da Presidência da República; Sergio Etchegoyen, ministro de Estado chefe do Gabinete de Segurança Institucional da Presidência da República; Deputado Carlos Andrade (PHS/RR); Deputado Hiran Gonçalves (PP/RR); Deputado Remídio Monai (PR/RR); e Deputada Shéridan (PSDB/RR)",,"
Palácio do Planalto",
2018,1,30,17:00,Deputado Toninho Pinheiro (PP/MG),,"
Palácio do Planalto",
2018,1,30,17:15,"Senador Eunício Oliveira, presidente do Senado; Camilo Santana, governador do Ceará; Desembargador Francisco Gladyson Pontes, presidente do Tribunal de Justiça do Ceará; e José Albuquerque, presidente da Assembleia Legislativa do Estado do Ceará",,"
Palácio do Planalto",
