ano,mes,dia,hora,quem,onde,,
2017,1,19,10:05,Cerimônia de Lançamento do Pré-Custeio da Safra 2017/2018,"
IAC – Instituto Agronômico de Campinas, IAC-Centro de Cana, Rod. Antônio Duarte Nogueira, Km 321",,
2017,1,19,11:30,Embarque para Brasília/DF,"
Aeroporto de Ribeirão Preto",,
2017,1,19,14:30,"Dyogo Oliveira - Ministro interino do Planejamento, Desenvolvimento e Gestão","
Palácio do Planalto",,
2017,1,19,15:30,Senador José Medeiros (PSD/MT),"
Palácio do Planalto",,
2017,1,19,16:30,Cerimônia de Apresentação de Cartas Credenciais de Embaixadores residentes,"
Palácio do Planalto",,
2017,1,19,17:30,Helder Barbalho - Ministro de Estado da Integração Nacional,"
Palácio do Planalto",,
2017,1,19,18:30,Chanceler José Serra - Ministro das Relações Exteriores,"
Palácio do Planalto",,
2017,1,19,19:00,"Alexandre de Moraes, Ministro de Estado da Justiça e Cidadania e Grace Maria Fernandes Mendonça, Advogada-Geral da União","
Palácio do Planalto",,
2017,1,20,09:30,"Alexandre de Moraes, ministro da Justiça, Raul Jungmann, ministro da Defesa, e os Comandantes das Forças Armadas","
Palácio Planalto",,
2017,1,20,11:15,"Ellen Gracie, ex-Presidente do STF, e Bruno Costa Gabriel, Presidente da Janssen no Brasil","
Palácio do Planalto",,
2017,1,20,12:10,"Henrique Meirelles, ministro da Fazenda, Grace Maria Fernandes Mendonça, Advogada Geral da União","
Palácio Planalto",,
2017,1,21,11:00,Embarque para Porto Alegre/RS,"
Aeroporto de Congonhas - São Paulo/SP",,
2017,1,21,13:00,"Velório do ministro do Supremo Tribunal Federal, Teori Zavascki","
Plenário do TRF da 4ª Região – Rua Otávio Francisco Caruso da Rocha, 300 – Praia de Belas",,
2017,1,23,11:00,"Henrique Meirelles, Ministro de Estado da Fazenda e Dyogo Oliveira, Ministro interino do Planejamento, Desenvolvimento e Gestão","
Palácio do Planalto",,
2017,1,23,12:30,Alexandre de Moraes - Ministro de Estado da Justiça e Cidadania,"
Palácio do Planalto",,
2017,1,23,12:45,"Raul Jungmann, Ministro de Estado da Defesa e Tenente-Brigadeiro-do-ar Nivaldo Luiz Rossato, Comandante da Aeronáutica","
Palácio do Planalto",,
2017,1,23,16:30,Senador Thieres Pinto (PDT RR),"
Palácio do Planalto",,
2017,1,23,17:00,Senador Aécio Neves (PSDB/MG),"
Palácio do Planalto",,
2017,1,23,18:00,Senador Eunício Oliveira (PMDB/CE),"
Palácio do Planalto",,
2017,1,23,18:20,"Augusto Nardes, Ministro do Tribunal de Contas da União","
Palácio do Planalto",,
2017,1,24,10:00,Despachos internos,"
Palácio do Planalto",,
2017,1,24,12:00,"Reunião almoço com o Conselho Consultivo do Ministério da  Ciência, Tecnologia, Inovações e Comunicações – MCTI","
Sede do CNPQ",,
2017,1,24,15:00,Deputado Sérgio Souza (PMDB/PR),"
Palácio do Planalto",,
2017,1,24,17:00,"Deputado Baleia Rossi (PMDB/SP), líder do PMDB na Câmara dos Deputados.","
Palácio do Planalto",,
2017,1,25,10:30,Deputado Carlos Marum (PMDB/MS),"
Palácio do Planalto",,
2017,1,25,11:00,Deputado Aníbal Gomes (PMDB/CE),"
Palácio do Planalto",,
2017,1,25,11:30,Deputado Átila Lins (PSD/MA),"
Palácio do Planalto",,
2017,1,25,14:00,"Dyogo Oliveira - Ministro interino do Planejamento, Desenvolvimento e Gestão","
Palácio do Planalto",,
2017,1,25,15:00,"Henrique Meirelles, Ministro de Estado da Fazenda e Grace Maria Fernandes Mendonça, Advogada-Geral da União","
Palácio do Planalto",,
2017,1,25,17:00,João Raimundo Colombo - governador do estado de Santa Catarina,"
Palácio do Planalto",,
2017,1,25,17:30,Deputado Marcus Pestana (PSDB/MG),"
Palácio do Planalto",,
