Tweet_id: 1113382873204178945 | date: 2019-04-03 | join_date: {join_date} | join_time: {join_time} | time: 07:08:57 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: - @TVNBR : Presidente Jair Bolsonaro discursa durante encontro com empresários em Israel. http://youtu.be/TcW0VpW44NM  | hashtag: [] | url: {url} | replies: 295 | retweet: 1293 | likes: 9503 | link: https://twitter.com/jairbolsonaro/status/1113382873204178945 | is_retweet: None | user_rt: {user_rt} | mentions: ['TVNBR'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113245106101018626 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 22:01:31 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Nosso dia hoje em Israel: temos a certeza que estamos mudando a imagem de desconfiança do Brasil para os investidores e cidadãos estrangeiros! Podemos e vamos fazer muito mais! pic.twitter.com/16XejOYVlV | hashtag: [] | url: {url} | replies: 1188 | retweet: 3721 | likes: 23373 | link: https://twitter.com/jairbolsonaro/status/1113245106101018626 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113235863004229633 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 21:24:47 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Uma parceria entre a @policiafederal do Brasil e a Polícia do Paraguai apreendeu mais de mil toneladas de maconha. A ação também destruiu plantações da droga que produziriam uma quantidade avaliada em US$ 33 milhões de dólares. Parabéns pelo trabalho! Via @planalto | hashtag: [] | url: {url} | replies: 1611 | retweet: 5786 | likes: 39900 | link: https://twitter.com/jairbolsonaro/status/1113235863004229633 | is_retweet: None | user_rt: {user_rt} | mentions: ['policiafederal', 'planalto'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113176734508167169 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 17:29:49 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: E muito mais se revelará. Fonte: http://www.previdencia.gov.br/2019/04/forca-tarefa-previdenciaria-descobre-grupo-que-fraudava-beneficios-por-incapacidade-no-parana/ … | hashtag: [] | url: {url} | replies: 278 | retweet: 1577 | likes: 11083 | link: https://twitter.com/jairbolsonaro/status/1113176734508167169 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113175747206762498 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 17:25:54 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Força-Tarefa Previdenciária integrada pela Secretaria Especial de Previdência e Trabalho do Ministério da Economia, PF e MPF descobre fraudes de benefícios por incapacidade no Paraná. A quadrilha causou um prejuízo de mais de R$1,1mi com a utilização de atestados médicos falsos. | hashtag: [] | url: {url} | replies: 987 | retweet: 4171 | likes: 25367 | link: https://twitter.com/jairbolsonaro/status/1113175747206762498 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113158371761422337 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 16:16:51 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: - Netanyahu, Bolsonaro, Neymar e Medina pelo Sucesso de Brasil e Israel. pic.twitter.com/ixoyspZEyI | hashtag: [] | url: {url} | replies: 2935 | retweet: 9818 | likes: 56524 | link: https://twitter.com/jairbolsonaro/status/1113158371761422337 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113099104400433153 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 12:21:21 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Centro Mundial de Memória do Holocausto. pic.twitter.com/F3mJctW80k | hashtag: [] | url: {url} | replies: 1034 | retweet: 3150 | likes: 18952 | link: https://twitter.com/jairbolsonaro/status/1113099104400433153 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113084383014129665 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 11:22:51 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Mais uma grande conquista que mostra que o país vive um novo momento e o mercado está acreditando no nosso país, de acordo com dados do @MTurismo em 2017, por exemplo, europeus deixaram aqui mais de US$ 1,2 bilhão. Ainda há muito o que fazer! | hashtag: [] | url: {url} | replies: 599 | retweet: 2656 | likes: 23236 | link: https://twitter.com/jairbolsonaro/status/1113084383014129665 | is_retweet: None | user_rt: {user_rt} | mentions: ['MTurismo'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113084156370714626 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 11:21:57 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: Aumenta número de voos da Europa para o Brasil em março. São aproximadamente 25 mil lugares e 44 voos a mais. Este crescimento representa um aumento de 8% no número de assentos e 4% no de voos, comparando os meses de março do ano passado em relação a 2019. | hashtag: [] | url: {url} | replies: 1239 | retweet: 4962 | likes: 37176 | link: https://twitter.com/jairbolsonaro/status/1113084156370714626 | is_retweet: None | user_rt: {user_rt} | mentions:  | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
Tweet_id: 1113062177420636160 | date: 2019-04-02 | join_date: {join_date} | join_time: {join_time} | time: 09:54:37 | timezone: Hora oficial do Brasil | Username: jairbolsonaro | tweet: 🌷👍🏻 | hashtag: [] | url: {url} | replies: 24 | retweet: 50 | likes: 598 | link: https://twitter.com/jairbolsonaro/status/1113062177420636160 | is_retweet: None | user_rt: {user_rt} | mentions: ['0_marcia'] | media: {media} | private: {private} | verified: {verified} | avatar: {avatar}
