"2016-06-01 09:30","Cerimônia de Posse de Maria Silvia Bastos Marques, no cargo de Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES) e dos senhores Paulo Rogério Caffarelli, no cargo de Presidente do Banco do Brasil, Gilberto Occhi, no cargo de Presidente da Caixa Econômica Federal, Pedro Parente, no cargo de Presidente da Petrobras e Ernesto Lozardo, no cargo de Presidente do Instituto de Pesquisa Econômica Aplicada (Ipea)","
Local: Palácio do Planalto",
"2016-06-01 11:00","Deputado Paulo Pereira da Silva (SD/SP) e Direção da Frente Nacional de Luta - FNL","
Local: Palácio do Planalto",
"2016-06-01 11:30","Ives Gandra Filho","Presidente do Tribunal Superior do Trabalho (TST) e doConselho Superior da Justiça do Trabalho (CSJT)",
"2016-06-01 12:00"," Pedro Taques","Governador do Estado de Mato Grosso",
"2016-06-01 15:00","Senador José Maranhão (PMDB/PB)","
Local: Palácio do Planalto",
"2016-06-02 10:00","Mario Heringer","Deputado (PDT/MG)",
"2016-06-02 11:00","Cerimônia de Posse do senhor Torquato Jardim no cargo de Ministro da Transparência, Fiscalização e Controle","
Local: Palácio do Planalto",
"2016-06-02 12:30","Ibsen Pinheiro","Deputado Estadual (PMDB/RS)",
"2016-06-02 15:00","Alfredo Kaefer","Deputado (PSL/PR)",
"2016-06-03 00:00","Despachos Internos",
"2016-06-06 10:00","Despachos internos",
"2016-06-07 15:00","Rubens Ometto Silveira Mello","Presidente do Conselho de Administração do Grupo Cosan",
"2016-06-07 16:00","Magno Malta","Senador (PR/ES)",
"2016-06-07 17:00","Paulo Skaf","Presidente da Federação das Indústrias do Estado de São Paulo – FIESP",
"2016-06-07 18:30","Sérgio Souza","Deputado (PMDB/PR)",
"2016-06-08 10:30","Eladio Loizaga","Chanceler paraguaio",
"2016-06-08 11:00","Encontro com Líderes Empresariais","
Local: Palácio do Planalto",
"2016-06-08 15:00","Paulo Portas","Ex-vice Primeiro Ministro de Portugal",
"2016-06-08 17:00","José Ivo Sartori","Governador do Estado do Rio Grande do Sul",
"2016-06-08 20:00","Parada após o Pôr do Sol","
Local: Clube Naval de Brasília",
"2016-06-09 10:00","Antonio Imbassahy, Pauderney Avelino, Paulo Foletto, Rubens Bueno","Deputado PSDB/BA, Deputado DEM/AM, Deputado PSB/ES, Deputado PPS/PR",
"2016-06-09 10:30","Marcelo Miranda","Governador do Tocantins e Outros",
"2016-06-09 11:00","Simão Jatene","Governador do estado do Pará",
"2016-06-09 17:00","Posse do Presidente do Banco Central, Ilan Goldfajn","
Local: Palácio do Planalto",
"2016-06-09 18:00","Ricardo Lewandowski, presidente do Supremo Tribunal Federal ","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-10 12:30","Encontro com Centrais Sindicais","
Local: Palácio do Jaburu",
"2016-06-13 15:00","Roberto Azevêdo, Diretor-Geral da OMC","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-13 16:00","Bruno Araújo, ministro de Estado das Cidades","
Local: Palácio do Planalto, 3º andar - Gabinete.",
"2016-06-14 08:00","Decolagem para o Rio de Janeiro / RJ",
"2016-06-14 09:30","Chegada ao Rio de Janeiro.",
"2016-06-14 10:00","Thomas Bach, presidente do Comitê Olímpico Internacional - COI","
Local: Parque Olímpico - Rio de Janeiro / RJ",
